,Unnamed: 0,loc,title,author,is_foreign
6,6,43632_17447,最小人間の怪,海野十三,False
22,22,1762_24389,夢,萩原朔太郎,False
26,26,1627_11967,狼の怪,田中貢太郎,False
28,28,4087_31509,チュウリップの幻術,宮沢賢治,False
37,37,42915_23105,花田清輝論,坂口安吾,False
42,42,45218_31481,西部劇通信,牧野信一,False
43,43,89_15188,校正後に,芥川龍之介,False
45,45,53458_52760,おばあさんと黒ねこ,小川未明,False
46,46,45688_21626,五所川原,太宰治,False
51,51,54975_49007,納豆の茶漬け,北大路魯山人,False
54,54,56215_62549,銭形平次捕物控,野村胡堂,False
57,57,3816_27302,鷺と鴛鴦,芥川龍之介,False
63,63,48002_35952,提燈,田中貢太郎,False
64,64,45901_37420,安吾の新日本地理,坂口安吾,False
66,66,4468_8267,床屋,宮沢賢治,False
69,69,43244_24427,花咲ける石,坂口安吾,False
70,70,51590_48271,しろくまの　子,小川未明,False
71,71,52260_47942,水面に浮んだ女,田中貢太郎,False
74,74,52108_59650,古いてさげかご,小川未明,False
79,79,260_34634,逆行,太宰治,False
84,84,50617_38175,越年,岡本かの子,False
85,85,50760_41999,トンカトントンカッタカッタ,今野大力,False
86,86,45109_41960,輪まはし,新美南吉,False
88,88,42262_18761,雑記帳より（２［＃「２」はローマ数字、1-13-22］）,寺田寅彦,False
90,90,43667_17433,あの世から便りをする話,海野十三,False
93,93,3785_27340,拊掌談,芥川龍之介,False
99,99,43148_30103,私の碁,坂口安吾,False
101,101,3738_27300,骨董羹,芥川龍之介,False
102,102,42817_23710,感想家の生れでるために,坂口安吾,False
107,107,627_13466,赤い蝋燭,新美南吉,False
114,114,297_20163,未帰還の友に,太宰治,False
117,117,3806_27358,忘れられぬ印象,芥川龍之介,False
122,122,1934_17932,氷河鼠の毛皮,宮沢賢治,False
123,123,45555_41069,商売の繁昌する家,田中貢太郎,False
125,125,42861_27503,俗物性と作家,坂口安吾,False
126,126,45064_50170,ふしぎな池,豊島与志雄,False
130,130,1651_16636,酒友,田中貢太郎,False
132,132,51418_40028,手紙,坂本龍馬,False
137,137,2095_19238,斜坑,夢野久作,False
138,138,42713_28558,碑文,豊島与志雄,False
149,149,43203_21549,明治開化　安吾捕物,坂口安吾,False
150,150,53390_43248,〔馬行き人行き自転車行きて〕,宮沢賢治,False
152,152,42441_33342,阿亀,豊島与志雄,False
